Município,Código,Demonym ,Prefeito [2017],Area - km^2 [2019],Population Estimate -  [2020],Densidade – hab/km^2 [2010],Schooling (6 to 14 years old) - % [2010],MHDI (Municipal human development index) [2010],Mortalidade Infantil - deaths per 1000 live births [2013],Realized revenue - R$ (*1000) [2017],Committed expenditure - R$ (*1000) [2017],GDP Per Capita - R$ (*1000) [2017]
Abadia dos Dourados,3100104,abadiense,WANDERLEI LEMES SANTOS,881.064,7006,7.61,98.3,0.689,16.95,21894.89576,18793.52389,21953.45
Abaeté,3100203,abaetense,ARMANDO GRECO FILHO,1817.067,23250,12.49,99.8,0.698,12.3,45220.32463,40774.21946,18044.21
Abre Campo,3100302,abre-campense,MÁRCIO MOREIRA VICTOR,470.551,13444,28.29,97.4,0.654,27.03,32100.1209,29577.56666,13453.99
Acaiaca,3100401,acaiaquense,LUIZ CARLOS FAUSTINO,101.886,3994,38.47,96,0.63,42.55,14072.55633,12445.28291,9535.73
Açucena,3100500,açucenense,DARCIRA DE SOUZA PEREIRA,815.422,9368,12.6,96.7,0.61,26.09,19477.67359,19513.35699,9702.71
Água Boa,3100609,água-boense,LAERTH VIEIRA FILHO,1320.344,13523,11.51,92.9,0.576,15.79,29538.64432,27745.67559,8929.52
Água Comprida,3100708,água-compridense,GUSTAVO DE ALMEIDA GONÇALVES,492.167,1992,4.11,95.2,0.675,125,18442.25605,16122.10615,64364.49
Aguanil,3100807,aguanilense,SEBASTIÃO ELOI DE SOUZA CAMPOS,232.091,4522,17.47,97.4,0.663,68.18,15931.8311,14013.41004,13473.49
Águas Formosas,3100906,águas-formosense,ALFEU OLIVEIRA AMADOR FILHO,820.079,19247,22.53,96.6,0.645,19.69,45324.03903,40811.21189,11695.98
Águas Vermelhas,3101003,águas-vermelhense,VALDECY JOSE DE SOUZA,1256.607,13599,10.1,93.3,0.601,18.18,27494.40686,25905.67987,16270.76
Aimorés,3101102,aimorense,MARCELO MARQUES,1348.913,25141,18.5,96.5,0.684,16.18,63055.28218,56293.50681,16877.78
Aiuruoca,3101201,aiuruocano,PAULO ROBERTO SENADOR,649.68,5976,9.48,99.3,0.668,22.73,17722.73165,15580.4714,14454.94
Alagoa,3101300,alagoense,JULIANO DINIZ DE OLIVEIRA,161.356,2665,16.79,99,0.649,111.11,15332.40286,13926.43236,12889.85
Albertina,3101409,albertinense,JOÃO PAULO FACANALI DE OLIVEIRA,58.01,3011,50.22,98.4,0.673,111.11,15060.64494,11821.97218,27796.71
Além Paraíba,3101508,além-paraibano,MIGUEL BELMIRO DE SOUZA JUNIOR,510.25,35401,67.3,97.6,0.726,19.66,84079.72686,69396.6373,25711.91
Alfenas,3101607,alfenense,LUIZ ANTONIO DA SILVA,850.446,80494,86.75,97.8,0.761,14.03,266276.67933,242021.97518,33422.98
Alfredo Vasconcelos,3101631,vasconcelense,JOSE VICENTE BARBOSA,130.815,6981,46.44,98,0.675,40.82,16476.30987,15425.85726,12423.03
Almenara,3101706,almenarense,ADEMIR COSTA GOBIRA,2294.426,42143,16.9,97.8,0.642,12.24,76557.45077,75200.48388,11873.07
Alpercata,3101805,alpercatense,VALMIR FARIA DA SILVA,166.972,7436,42.95,99.1,0.646,11.24,19160.77414,17768.52119,10483.45
Alpinópolis,3101904,alpinopolense,JOSÉ GABRIEL DOS SANTOS FILHO,460.685,19958,40.66,97,0.725,4.39,41935.67362,39224.14842,17764.06
Alterosa,3102001,alterosense,HERMES DE SOUZA SILVA,362.01,14517,37.89,97.7,0.668,5.38,32839.82289,29250.61564,15038.66
Alto Caparaó,3102050,alto caparoense,JOSÉ GOMES MONTEIRO,103.69,5894,51.08,98.5,0.661,13.7,17462.33578,13322.27155,12405.81
Alto Rio Doce,3102100,alto-rio-docense,WILSON TEIXEIRA GONÇALVES FILHO,518.053,10859,23.47,95.9,0.62,45.05,23033.23624,22048.62641,13862.48
Alvarenga,3102209,alvarenguense,DIOCELIO FERNANDO RIBEIRO,278.175,3844,15.98,96.9,0.592,38.46,15037.93322,13608.94818,9279.67
Alvinópolis,3102308,alvinopolense,JOÃO BATISTA MATEUS DE MORAES,599.443,15169,25.46,97.3,0.676,32.05,35767.76561,30473.15103,18013.82
Alvorada de Minas,3102407,alvoradense,VITOR HUGO FERREIRA DOS SANTOS,374.008,3605,9.48,94.6,0.572,50.85,22464.8569,18633.31791,11580.31
Amparo do Serra,3102506,serrense,ASTOLFO GOMES FUSCALDI,136.186,4678,34.63,98.6,0.641,16.67,14841.41913,13407.00528,9350.42
Andradas,3102605,andradense,RODRIGO APARECIDO LOPES,469.396,41396,79.4,96.7,0.734,11.83,96841.77636,81976.5091,21438.65
Cachoeira de Pajeú,3102704,cachoeirense,HUMBERTO TOLENTINO PEREIRA,695.672,9442,12.88,97.3,0.578,25.64,21171.47983,19712.58058,9263.24
Andrelândia,3102803,andrelandense,FRANCISCO CARLOS RIVELLI,1005.285,12206,12.11,98.2,0.7,9.01,29701.32649,26177.48661,17494.93
Angelândia,3102852,angelandense,JOÃO PAULO BATISTA DE SOUZA,185.211,8557,43.21,98.3,0.597,19.42,20470.82228,19137.1073,9097.14
Antônio Carlos,3102902,antônio-carlense,RAIMUNDO NONATO MARQUES,529.915,11459,20.97,98,0.683,23.08,23432.63671,21577.97754,12141.99
Antônio Dias,3103009,antônio-diense,BENEDITO DE ASSIS LIMA,787.061,9275,12.15,98.2,0.645,21.05,30181.49052,25519.47049,19653.2
Antônio Prado de Minas,3103108,pradense-de-minas,WELISON SIMA DA FONSECA,83.802,1587,19.94,99.1,0.684,222.22,11861.10736,10746.01602,13454.82
Araçaí,3103207,araçaiense,ALESSANDRO GUIMARÃES SAMPAIO,187.538,2354,12.02,98.9,0.695,40,13817.27194,11944.60722,24503.21
Aracitaba,3103306,aracitabense,FÁBIO ALFEU DA SILVA,106.608,2059,19.3,97,0.661,62.5,12261.78094,10169.69908,10602.62
Araçuaí,3103405,araçuaiense,ARMANDO JARDIM PAIXÃO,2236.279,36712,16.1,97.5,0.663,16.28,62203.52899,56562.95885,10510.82
Araguari,3103504,araguarino,MARCOS COELHO DE CARVALHO,2729.508,117825,40.23,97.8,0.773,14.78,353296.17541,321111.49012,34840.91
Arantina,3103603,arantinense,FRANCISCO CARLOS FERREIRA ALVES,89.42,2787,31.57,98.6,0.697,31.25,13809.79363,11723.55009,16587.84
Araponga,3103702,araponguense,LUIZ HENRIQUE MACEDO TEIXEIRA,303.793,8453,26.83,95,0.536,10.31,21393.63143,17635.23941,10471.12
Araporã,3103751,araporense,RENATA CRISTINA SILVA BORGES,295.837,6931,20.77,99.3,0.708,8,73711.16208,56380.33228,175526.34
Arapuá,3103801,arapuaense,JOÃO BATISTA TERTO DA CUNHA,173.894,2835,15.96,98.3,0.724,58.82,14612.27368,12052.13723,39903.74
Araújos,3103900,araujense,SÔNIA MARIA BATISTA COUTO,245.522,9401,32.11,95.6,0.698,10.64,22175.60343,18825.2522,34475.4
Araxá,3104007,araxaense,ARACELY DE PAULA,1164.062,107337,80.45,97.1,0.772,9.25,398698.25624,331538.24895,49299.6
Arceburgo,3104106,arceburguense,GILSON PEREIRA DE MELLO,162.875,10883,58.38,98.7,0.683,13.89,33783.75198,28357.42739,25309.52
Arcos,3104205,arcoense,DENILSON FRANCISCO TEIXEIRA,509.873,40380,71.78,98.4,0.749,16.06,106985.03099,95564.9004,30888.35
Areado,3104304,areadense,PEDRO FRANCISCO DA SILVA,283.124,15181,48.5,98.2,0.727,12.9,31213.74703,29227.35876,15116.55
Argirita,3104403,argiritense,CARLOS AURELIO CARMINATE ALMEIDA,159.378,2704,18.2,96.4,0.643,32.26,13895.35026,12498.53852,11251.31
Aricanduva,3104452,aricanduvense ou aricanduvano,ORLANDO CORDEIRO OLIVEIRA,243.329,5269,19.6,98.1,0.582,16.13,15260.28627,14383.05586,8466.57
Arinos,3104502,arinense,CARLOS ALBERTO RECCH FILHO,5279.419,17862,3.35,96.6,0.656,28.71,40084.15402,37210.05573,11260.49
Astolfo Dutra,3104601,astolfo-dutrense,BRUNO RIBEIRO,158.891,14270,82.13,98.6,0.694,31.5,32961.21133,28837.08248,21248.44
Ataléia,3104700,ataleiense,TARIK BARBOSA,1836.925,12678,7.87,96.7,0.588,20.83,28052.08998,25235.83958,9577.63
Augusto de Lima,3104809,augusto-limense,JOAO CARLOS BATISTA BORGES,1254.832,4851,3.95,99,0.656,21.28,16552.79648,15411.37557,12854.16
Baependi,3104908,baependiano,HILTON LUIZ DE CARVALHO ROLLO,750.554,19199,24.39,96,0.681,15.87,48166.06752,39368.11332,13602.87
Baldim,3105004,baldinense,JOÃO ANTONIO DA TRINDADE,556.266,7803,14.23,96.5,0.671,26.67,19147.93219,16899.99704,13369.77
Bambuí,3105103,bambuiense,OLIVIO JOSÉ TEIXEIRA,1455.819,23898,15.62,98.6,0.741,8.55,59213.90451,53262.85261,21982.59
Bandeira,3105202,bandeirense,ANTONIO RODRIGUES DOS SANTOS,483.789,4766,10.31,98.7,0.599,27.03,16995.14495,16984.31734,8907.34
Bandeira do Sul,3105301,bandeirante-do-sul,JOSÉ DOS SANTOS,47.266,5778,113.41,96.7,0.692,14.71,16737.33493,14039.00812,11141.78
Barão de Cocais,3105400,cocaiense,DÉCIO GERALDO DOS SANTOS,340.14,32866,83.51,98.9,0.722,18.87,84239.86062,81617.23564,22747.52
Barão de Monte Alto,3105509,monte-altense,ALEXANDRE PEREIRA MOREIRA NERES,198.313,5354,28.84,100,0.649,76.92,18151.29099,18413.02448,8697.4
Barbacena,3105608,barbacenense,LUIS ÁLVARO ABRANTES CAMPOS,759.186,138204,166.34,98.4,0.769,10.22,344024.75121,320991.76424,19631.86
Barra Longa,3105707,barra-longuense,ELÍSIO PEREIRA BARRETO,383.628,5015,16.01,97.6,0.624,19.23,19109.24914,16229.08473,12381.61
Barroso,3105905,barrosense,REINALDO APARECIDA FONSECA,82.07,20897,238.81,99.2,0.734,16.81,44350.61762,38477.87742,18446.04
Bela Vista de Minas,3106002,bela-vistano,WILBER JOSE DE SOUZA,109.143,10262,91.66,100,0.674,8.4,32314.60744,29417.77429,20977.84
Belmiro Braga,3106101,belmirense,AFONSO HENRIQUE CARVALHO FERREIRA,393.086,3425,8.66,99.2,0.66,74.07,18231.88896,13267.78904,13806.15
Belo Horizonte,3106200,belo-horizontino,ALEXANDRE KALIL,331.354,2521564,7167,97.6,0.81,9.99,10145985.448,10036417.54367,35245.02
Belo Oriente,3106309,belo-orientino,HAMILTON ROMULO DE MENEZES CARVALHO,334.909,26994,69.86,98.9,0.686,13.16,90708.86291,77910.57918,78971.91
Belo Vale,3106408,belo-valense,JOSÉ LAPA DOS SANTOS,365.923,7719,20.59,97.1,0.655,9.17,45642.25353,39123.19355,18669.47
Berilo,3106507,berilense,LÁZARO PEREIRA NEVES,587.106,11872,20.95,98.9,0.628,11.9,23051.72672,21807.16464,7576.98
Bertópolis,3106606,bertopolitano,ARISTIDES ANGELO ROSSI DEPOLO,427.803,4607,10.51,83.9,0.594,12.05,14879.40294,14494.19707,7926.08
Berizal,3106655,berizalense,JOAO CARLOS LUCAS LOPES,488.756,4764,8.94,97.8,0.604,17.86,14755.46765,13463.60767,8498.68
Betim,3106705,betinense,VITTORIO MEDIOLI,343.884,444784,1102.8,98,0.749,8.45,1775733.38546,1363402.08923,54052.13
Bias Fortes,3106804,bias-fortense,FABRÍCIO JOSE DA FONSECA ALMEIDA,283.535,3329,13.38,97.8,0.62,38.46,12932.27311,9822.12826,8742.92
Bicas,3106903,biquense,HONÓRIO DE OLIVEIRA,140.082,14554,97.46,98.9,0.744,13.61,32650.62989,29217.42232,16973.73
Biquinhas,3107000,biquinhense,ARISLEU FERREIRA PIRES,458.948,2498,5.73,99.1,0.688,47.62,14906.28149,14725.13256,15291.15
Boa Esperança,3107109,esperancense,HIDERALDO HENRIQUE SILVA,860.669,40219,44.75,96.9,0.704,14.98,108963.21953,100790.09633,20555.41
Bocaina de Minas,3107208,bocainense,WANDERSON ABRAAO BENFICA,503.77,5089,9.94,96.4,0.645,23.26,14953.50879,12953.5803,10642.07
Bocaiúva,3107307,bocaiuvense,MARISA DE SOUZA ALVES,3206.757,50256,14.45,97.8,0.7,16.92,101426.83053,92541.63204,15891.3
Bom Despacho,3107406,bom-despachense,FERNANDO JOSÉ CASTRO CABRAL,1213.546,51028,37.28,98.3,0.75,10.45,131328.81743,119411.10166,24209.87
Bom Jardim de Minas,3107505,bom-jardinense,SERGIO MARTINS,412.021,6459,15.78,98.8,0.673,14.49,18751.21875,17171.66555,18240.87
Bom Jesus da Penha,3107604,bom-jesuense,NEI ANDRE FREIRE,208.349,4244,18.66,98.7,0.735,27.78,20770.49565,16756.93563,29315.55
Bom Jesus do Amparo,3107703,bom-jesuense,DARIO FERREIRA MOTTA,195.611,6133,28.07,97.5,0.683,13.33,18793.02378,20170.20908,12581.33
Bom Jesus do Galho,3107802,bom-jesuense,WILLIAN BATISTA DE CALAIS,592.289,14862,25.94,97.2,0.623,12.35,28717.6088,24099.37345,9040.14
Bom Repouso,3107901,bom-repousense,MESSIAS CRISPIM BRANDAO,229.845,10537,45.5,95.1,0.653,6.9,26531.84317,23613.50095,10979.86
Bom Sucesso,3108008,bom-sucessense,PORFÍRIO ROBERTO DA SILVA,705.046,17607,24.46,97.9,0.692,16.76,47142.74645,39912.68388,17067.03
Bonfim,3108107,bonfinense,GUSTAVO MARQUES RIBEIRO,301.865,6860,22.59,98.5,0.637,19.61,19095.8715,19887.69415,12250.23
Bonfinópolis de Minas,3108206,bonfinopolitano,DONIZETE ANTONIO DOS SANTOS,1850.487,5444,3.17,97.7,0.678,16.13,23966.45551,20567.00615,34946.36
Bonito de Minas,3108255,bonitense,JOSÉ REIS NOGUEIRA DE BARROS,3936.455,11369,2.48,93,0.537,7.46,27769.795,25677.39103,6761.87
Borda da Mata,3108305,borda-matense,ANDRE CARVALHO MARQUES,301.108,19614,56.85,96.8,0.73,16.04,40717.49628,36534.47766,16175.23
Botelhos,3108404,botelhense,EDUARDO JOSE ALVES DE OLIVEIRA,334.089,14949,44.66,96.7,0.702,47.3,31837.18283,25178.78022,15303.52
Botumirim,3108503,botumiriense,ANA PEREIRA NETA,1568.884,6288,4.14,96.5,0.602,17.86,15928.06577,14698.46347,7391.67
Brasilândia de Minas,3108552,brasilandense,MARDEN JUNIOR TELES PEREIRA DA COSTA,2509.694,16748,5.67,97.5,0.674,13.7,32490.59713,27703.08892,13612.32
Brasília de Minas,3108602,brasilminense,GEELISON FERREIRA DA SILVA,1399.484,32405,22.3,96.8,0.656,8.87,83595.88232,77024.27104,9231.36
Brás Pires,3108701,brás-pirense,ITAMAR CABRAL DE MIRANDA,223.351,4293,20.76,97.4,0.625,20.41,14143.71678,13020.09058,7911.8
Braúnas,3108800,braunense,JOVANI DUARTE MENEZES,378.318,4769,13.3,98.3,0.624,27.03,17853.34942,14818.36598,18555.37
Brazópolis,3108909,brazopolense,CARLOS ALBERTO MORAIS,367.688,14410,39.87,98.4,0.692,23.81,32492.53198,26518.58354,11162.62
Brumadinho,3109006,brumadinhense,AVIMAR DE MELO BARCELOS,639.434,40666,53.13,98.4,0.747,6.85,175543.55034,165401.05391,51164.41
Bueno Brandão,3109105,bueno-brandense,SILVIO ANTONIO FELIX,356.15,10991,30.58,98,0.658,10.99,25003.86623,21990.03879,12266.35
Buenópolis,3109204,buenopolense,CÉLIO SANTANA,1599.881,10353,6.43,95.1,0.669,8.85,25297.72766,22171.29429,10881.37
Bugre,3109253,bugrense,JORDÃO VIANA TEIXEIRA,161.491,3983,24.66,98.4,0.627,58.82,15550.85763,15180.2174,11157.52
Buritis,3109303,buritisense,KENY SOARES RODRIGUES,5225.186,25013,4.35,97.8,0.672,8,77830.36554,75333.76215,28390.07
Buritizeiro,3109402,buritizeirense,ANDERSON FONSECA BRAGA,7218.401,28121,3.73,96.8,0.624,10.78,54705.83522,44109.98318,14822.76
Cabeceira Grande,3109451,cabeceirense,ODILON DE OLIVEIRA E SILVA,1031.409,6988,6.26,98.2,0.648,17.24,31573.47651,25348.42775,26260.47
Cabo Verde,3109501,cabo-verdense,EDSON JOSÉ FERREIRA,368.206,14075,37.54,94.6,0.674,12.2,30423.45632,27638.27267,16070.03
Cachoeira da Prata,3109600,cachoeirense,DOMICIO DE CAMPOS MACIEL,61.381,3591,59.53,98.1,0.741,25.64,15260.12111,12455.95178,10360.02
Cachoeira de Minas,3109709,cachoeirense,DIRCEU D'ANGELO DE FARIA,304.243,11579,36.27,97.7,0.706,17.54,27332.09976,25258.29153,17051.27
Cachoeira Dourada,3109808,cachoeirense,OVIDIO AFRO DANTAS,200.928,2706,12.47,98.3,0.726,41.67,32064.45933,26409.2267,27874.75
Caetanópolis,3109907,caetanopolitano,ROMARIO VICENTE ALVES FERREIRA,156.039,11749,65.48,98.1,0.706,8.4,24011.81279,22188.81907,22168.57
Caeté,3110004,caeteense,LUCAS COELHO FERREIRA,542.531,45047,75.11,96.9,0.728,10.06,88074.27799,83429.38142,13021.84
Caiana,3110103,caianense,MAURICIO PINHEIRO FERREIRA,106.465,5541,46.66,97,0.633,14.08,15543.19991,15137.67976,10907.37
Cajuri,3110202,cajuriense,RICARDO AUGUSTO DIAS DE ANDRADE,83.038,3974,48.74,97.1,0.617,24.39,15583.75794,14325.80774,16587.88
Caldas,3110301,caldense,ALEXSANDRO CONCEIÇÃO QUEIROZ,711.414,14541,19.16,98.4,0.687,8.26,33797.48434,32627.00405,15723.95
Camacho,3110400,camachense,BRUNO LAMOUNIER FURTADO,223.001,2869,14.14,98.8,0.69,34.48,13328.42335,12071.1564,13220.29
Camanducaia,3110509,camanducaiense,EDMAR CASSALHO MOREIRA DIAS,528.688,21801,39.89,98.2,0.689,10.71,58377.91068,52465.95055,27469.15
Cambuí,3110608,cambuiense,TALES TADEU TAVARES,244.567,29814,108.31,98.6,0.751,5.56,84181.68774,66650.737,46222.69
Cambuquira,3110707,cambuquirense,FABRICIO DOS SANTOS SIMONI,246.38,12812,51.15,98.2,0.699,7.41,27728.78481,24968.62606,17214.96
Campanário,3110806,campanarense,MARCONDES DE OLIVEIRA E SOUZA,442.398,3730,8.06,98.5,0.616,24.39,15242.07155,13357.77389,10313.58
Campanha,3110905,campanhense,LUIZ FERNANDO TAVARES,335.587,16762,45.99,97,0.709,20.73,43253.4654,35415.06784,18285.22
Campestre,3111002,campestrense,NIVALDO DONIZETE MUNIZ,577.843,21054,35.8,97.7,0.698,16.76,42844.50412,39264.40824,16350.87
Campina Verde,3111101,campina-verdense,FRADIQUE GURITA DA SILVA,3650.749,19752,5.29,89.2,0.704,12.42,51116.62883,39652.21946,25328.11
Campo Azul,3111150,campoazulense,OSEAS ALMEIDA JÚNIOR,505.914,3824,7.28,98.1,0.621,35.09,14339.79347,14115.8334,8533.45
Campo Belo,3111200,campo-belense,ALISSON DE ASSIS CARVALHO,528.225,54186,97.58,98.4,0.711,8.21,127823.4759,121659.27759,18066.57
Campo do Meio,3111309,campo-meense,ROBSON MACHADO DE SA,275.426,11651,41.67,97.9,0.683,6.9,30132.35762,25811.40522,14484.01
Campo Florido,3111408,campo-floridense,RENATO SOARES DE FREITAS,1264.245,8269,5.43,98.8,0.706,21.51,38168.12954,32279.92529,64124.05
Campos Altos,3111507,campos-altense,PAULO CEZAR DE ALMEIDA,710.645,15563,19.99,97.6,0.702,5.41,45047.30487,37057.44078,21147.86
Campos Gerais,3111606,campos-geraiense,JOSE EUGENIO DA SILVA,769.504,28842,35.87,97.7,0.682,24.22,61389.90417,54679.8844,16440.29
Canaã,3111705,canaãense,SEBASTIÃO HILÁRIO BITENCOURT,174.9,4548,26.46,98.2,0.649,14.29,14893.85765,14409.64928,14277.5
Canápolis,3111804,canapolense,UALISSON CARVALHO SILVA,844.609,12201,13.53,99,0.722,14.39,33342.23606,30395.28287,28614.62
Cana Verde,3111903,cana-verdense,EDUARDO CARDOSO GARCIA,212.721,5594,26.27,99.6,0.65,13.89,15367.66274,13376.84756,10977.71
Candeias,3112000,candeense,RODRIGO MORAES LAMOUNIER,720.512,14888,20.26,98.3,0.678,24,37734.80967,33924.34849,17227.35
Cantagalo,3112059,cantagalense,ADEILSON MEDEIROS DE OLIVEIRA,141.855,4551,29.57,95.1,0.631,16.67,15748.35553,14487.16485,9983.09
Caparaó,3112109,caparaoense,CRISTIANO XAVIER DA COSTA,130.694,5451,39.86,94.1,0.624,12.05,16666.96598,15439.1566,13070.93
Capela Nova,3112208,capela-novense,ADELMO DE REZENDE MOREIRA,111.073,4634,42.81,95,0.648,23.81,13567.64162,12695.55317,10107.06
Capelinha,3112307,capelinhense,TADEU FILIPE FERNANDES DE ABREU,965.292,38057,36.05,97.3,0.653,10.15,68873.77075,63452.98172,16000.48
Capetinga,3112406,capetinguense,LUIZ CESAR GUILHERME,297.937,6890,23.79,96.3,0.675,16.39,18302.66154,16146.94489,16517.06
Capim Branco,3112505,capim-branquense,ELMO ALVES DO NASCIMENTO,95.333,9826,93.16,99.3,0.695,16.26,20622.25359,18530.91273,8901.97
Capinópolis,3112604,capinopolino,CLEIDIMAR ZANOTTO,620.716,16234,24.63,99.6,0.723,23.95,48671.49021,44201.39257,23546.48
Capitão Andrade,3112653,capitão andradense,AROLDO MIRANDA DA SILVA,279.088,5514,17.65,99.3,0.624,14.71,16201.37965,15562.97927,8138.7
Capitão Enéas,3112703,capitão-eneense ou eneapolitano,PETRONIO MINEIRO DE SOUZA,971.576,15313,14.62,96.9,0.639,16.13,54216.513,31664.13719,16680.32
Capitólio,3112802,capitolino,JOSÉ EDUARDO TERRA VALLORY,521.802,8663,15.68,99,0.71,20.41,34131.98474,30556.97551,23957.75
Caputira,3112901,caputirense,CELSO GONÇALVES ANTUNES,187.704,9308,48.11,96.4,0.615,8,17700.78134,16580.574,7903.49
Caraí,3113008,caraiense,HEBER GOMES NEIVA,1242.345,23780,17.99,96.2,0.558,28.99,40352.96771,37225.76242,6404.49
Caranaíba,3113107,caranaibense,MARCOS BELLAVINHA,159.95,3166,20.56,97.9,0.634,80,14871.47023,13425.19517,9508.37
Carandaí,3113206,carandaiense,WASHINGTON LUIZ GRAVINA TEIXEIRA,487.28,25669,48.06,98.8,0.697,26.67,63469.2074,56593.85522,19665.4
Carangola,3113305,carangolense,PAULO CESAR DE CARVALHO PETTERSEN,353.404,33011,91.39,96.9,0.695,14.46,77705.21627,69505.34885,15391.25
Caratinga,3113404,caratinguense,WELINGTON MOREIRA DE OLIVEIRA,1258.479,92603,67.72,95.4,0.706,21.03,167343.56203,156263.63469,17516.07
Carbonita,3113503,carbonitense,NIVALDO MORAES SANTANA,1456.095,9414,6.28,99.4,0.638,10.2,24013.72695,20857.04579,13447.58
Careaçu,3113602,careaçuense,TOVAR DOS SANTOS BARROSO,181.009,6792,34.79,98,0.683,14.71,18981.64211,14322.55653,22027.61
Carlos Chagas,3113701,carlos-chaguense,ACÁSSIO VIEIRA DE AZEREDO COUTINHO,3202.984,18674,6.27,97.6,0.648,9.39,55133.44539,47839.56841,16204.19
Carmésia,3113800,carmesense,MARIO CESAR SILVEIRA E VIEIRA,259.103,2646,9.44,99.3,0.65,33.33,17798.45513,14016.7498,10582.24
Carmo da Cachoeira,3113909,carmo-cachoeirense,GODOFREDO JOSÉ CALDEIRA REIS,506.333,12182,23.38,94,0.655,7.46,30861.34325,26290.00925,18132.52
Carmo da Mata,3114006,carmense,ALMIR RESENDE JUNIOR,357.178,11511,30.59,97.9,0.689,11.9,29336.52776,26292.00954,14653.08
Carmo de Minas,3114105,carmoense,YURI VAZ DE OLIVEIRA,322.285,14947,42.66,98,0.682,12.74,134041.37401,31184.27312,12459.55
Carmo do Cajuru,3114204,cajuruense,EDSON DE SOUZA VILELA,455.808,22693,43.9,98.5,0.71,3.82,56177.72148,50142.10527,18899.04
Carmo do Paranaíba,3114303,carmense,CÉSAR CAETANO DE ALMEIDA FILHO,1307.862,30334,22.74,97.5,0.705,11.66,85848.7568,73050.5253,23893.6
Carmo do Rio Claro,3114402,carmelitano,SEBASTIÃO CEZAR LEMOS,1065.685,21268,19.17,96.4,0.733,10.2,49879.71862,40075.12953,21031.02
Carmópolis de Minas,3114501,carmopolitano,GERALDO ANTÔNIO DA SILVA,400.01,19559,42.62,95.6,0.7,16.95,42628.2506,42281.9577,19240.97
Carneirinho,3114550,carneirinhense,CÁSSIO ROSA DE ASSUNÇÃO,2063.315,10066,4.59,97.9,0.741,19.23,47540.26478,37412.81854,31620.56
Carrancas,3114600,carranquense,JOSÉ RAIMUNDO DOS SANTOS,727.894,4049,5.42,96.8,0.725,31.75,18240.30463,14302.98659,19106.85
Carvalhópolis,3114709,carvalhopolitano,JOSÉ ANTONIO DE CARVALHO,81.101,3597,41.2,100,0.724,-,17799.74875,13682.78561,14188.04
Carvalhos,3114808,carvalhense,ANTONIO DE PADUA DE CARVALHO MOURA,282.254,4461,16.14,96.5,0.646,20,13814.93736,13096.65487,12005.22
Casa Grande,3114907,casa-grandense,LUIZ OTÁVIO GONÇALVES,157.727,2254,14.23,96.3,0.652,50,13260.00366,10859.75134,26223.59
Cascalho Rico,3115003,cascalho-riquense,DÁRIO BORGES DE REZENDE,367.308,3092,7.78,96.6,0.721,43.48,20320.73597,17435.08918,15576.19
Cássia,3115102,cassiense,MARCO LEANDRO ALMEIDA ARANTES,665.802,17740,26.15,97,0.704,8.73,45338.29643,42128.57261,17598.9
Conceição da Barra de Minas,3115201,conceicionense,ALTAIR ALVIM,273.014,3946,14.48,93.6,0.685,34.48,14089.71803,13027.21476,10559.67
Cataguases,3115300,cataguasense,WILLIAN LOBO DE ALMEIDA,491.767,75540,141.85,98.1,0.751,9.69,137261.91287,126312.93323,21059.58
Catas Altas,3115359,catas-altense,JOSÉ ALVES PARREIRA,240.042,5421,20.19,98.6,0.684,20,37863.65114,27661.43687,114738.85
Catas Altas da Noruega,3115409,catas-altense,GERSON LOBO NEIVA,141.622,3653,24.45,98.4,0.6,37.04,22999.21007,11945.82335,9747.47
Catuji,3115458,catujiense,FUVIO LUZIANO SERAFIM,419.38,6257,15.99,95.7,0.54,21.58,20488.44086,20467.26328,9524.47
Catuti,3115474,catutiense,JOSE BARBOSA FILHO,287.812,4965,17.73,98.3,0.621,14.71,16947.58725,14383.27199,7667.61
Caxambu,3115508,caxambuense,DIOGO CURI HAUEGEN,100.483,21610,216.01,99,0.743,8.7,55498.07209,47471.09991,14826.33
Cedro do Abaeté,3115607,cedrense,LUIZ ANTONIO DE SOUSA,283.211,1157,4.27,100,0.678,62.5,12330.17095,9892.68289,14463.13
Central de Minas,3115706,centralense,OTAVIANO FERREIRA DE LAIA,204.328,7046,33.14,97.7,0.665,10.42,19081.27669,17756.55162,10951.37
Centralina,3115805,centralinense,ELSON MARTINS DE MEDEIROS,322.32,10346,31.38,96,0.678,29.41,28453.6223,24038.60861,25551.87
Chácara,3115904,chacarense,EMERSON DAMIÃO DUQUE,152.807,3186,18.27,97.6,0.664,32.26,13777.15739,11762.62038,11738.25
Chalé,3116001,chaleense,CARLOS RODRIGUES DA SILVA,212.674,5699,26.54,98.1,0.655,50.63,15783.41264,14075.09411,11762.23
Chapada do Norte,3116100,chapadense,DIEGO EUSTÁQUIO SOARES,830.833,15345,18.28,97.6,0.598,9.35,28744.64952,25498.34578,6093.09
Chapada Gaúcha,3116159,chapadense,JAIR MONTAGNER,3255.189,13953,3.32,97.8,0.635,22.47,36760.73634,32293.00862,14072
Chiador,3116209,chiadorense,MAURICIO BARBOSA MONTEIRO,252.852,2671,11.01,100,0.711,41.67,16011.714,13834.12056,10698.02
Cipotânea,3116308,cipotanense,JOSÉ BONIFÁCIO GOMES,153.479,6799,42.66,94.5,0.579,19.61,14674.34553,12321.27639,7012.05
