Município,Código,Demonym ,Prefeito [2017],Area - km^2 [2019],Population Estimate -  [2020],Densidade – hab/km^2 [2010],Schooling (6 to 14 years old) - % [2010],MHDI (Municipal human development index) [2010],Mortalidade Infantil - deaths per 1000 live births [2013],Realized revenue - R$ (*1000) [2017],Committed expenditure - R$ (*1000) [2017],GDP Per Capita - R$ (*1000) [2017]
Lagoa Grande,3137536,lagoa grandense,EDSON SABINO DE LIMA,1236.301,9608,6.98,97.2,0.679,8.06,24966.81014,22209.78794,24161.2
Lagoa Santa,3137601,lagoa-santense,ROGÉRIO CÉSAR DE MATOS AVELAR,229.409,65657,229.08,97,0.777,14.87,196349.60492,172600.94202,26899.69
Lajinha,3137700,lajinhense,JOAO ROSENDO AMBRÓSIO DE MEDEIROS,431.92,19918,45.4,98.2,0.661,9.71,42370.50218,37261.46148,15429.37
Lambari,3137809,lambariense,SÉRGIO TEIXEIRA,213.11,20907,91.76,97.6,0.711,12.82,53476.54489,47264.16571,15981.83
Lamim,3137908,laminense,MARCO ANTONIO DE ASSIS,118.602,3379,29.11,100,0.655,29.41,13394.84134,12446.24771,11499.54
Laranjal,3138005,laranjalense,SUDARIO AMORIM CARNEIRO,204.882,6833,31.55,98.3,0.714,27.78,17890.65658,14666.50776,11049.35
Lassance,3138104,lassancense,PAULO ELIAS RODRIGUES,3204.217,6503,2.02,96.4,0.629,10.75,23341.90616,19713.372,16804.09
Lavras,3138203,lavrense,JOSE CHEREM,564.744,104783,163.26,98.6,0.782,18.09,265705.58166,232486.78856,24341.66
Leandro Ferreira,3138302,leandrense,ELDER CORREA DE FREITAS,352.005,3226,9.1,97.7,0.71,64.52,15331.35552,14201.6257,11672.58
Leme do Prado,3138351,lemepradense,REGINALDO GOMES FERREIRA,280.036,4920,17.15,99.8,0.67,83.33,18526.5473,16261.56272,10112.83
Leopoldina,3138401,leopoldinense,JOSE ROBERTO DE OLIVEIRA,943.077,52640,54.22,98.1,0.726,6.14,98942.63714,92404.27242,19468.36
Liberdade,3138500,libertense,RITA DE CÁSSIA RODRIGUES,401.337,5031,13.32,98,0.672,47.62,17486.87217,15776.19181,15464.99
Lima Duarte,3138609,limaduartino,GERALDO GOMES DE SOUZA,848.564,16724,19.03,98.5,0.71,11.76,38309.50625,34362.21861,14833.24
Limeira do Oeste,3138625,limeirense,PEDRO SOCORRO DO NASCIMENTO,1319.036,7589,5.22,98.9,0.71,17.09,33907.68174,29692.48944,45754.38
Lontra,3138658,lontrense,DERNIVAL MENDES DOS REIS,258.925,9714,32.44,97.9,0.646,7.58,20224.54505,17455.81452,7201.03
Luisburgo,3138674,luisburguense,JOSE CARLOS PEREIRA,145.418,6258,42.87,94.9,0.608,18.02,18130.79176,18090.97979,12791.7
Luislândia,3138682,luislandense,EDSON RODRIGUES SUZART JUNIOR,411.714,6718,15.54,98,0.614,23.53,15539.81874,15026.60019,7185.38
Luminárias,3138708,luminarense,HUDSON SALVADOR VILELA,500.143,5438,10.84,99.3,0.678,23.81,16444.07106,14447.92522,18392.26
Luz,3138807,luzense,AILTON DUARTE,1171.659,18257,14.92,99,0.724,15.96,50344.92473,44876.04142,26719.14
Machacalis,3138906,machacalisense,MAURO ROBERTO FRANCISCO BATISTA,332.378,7111,20.99,96.7,0.64,23.81,17312.17972,16283.06862,10293.57
Machado,3139003,machadense,JULBERT FERRE DE MORAIS,585.958,42413,66.03,96.2,0.715,23.44,93060.99636,83187.07587,22958.55
Madre de Deus de Minas,3139102,madre-deusense,JOÃO EUSTÁSIO,492.909,5109,9.95,98.4,0.699,16.67,16511.15205,12800.2427,30539.26
Malacacheta,3139201,malacachetense,WILTON PEREIRA DA SILVA,727.886,18602,25.8,95.9,0.618,9.48,38171.63185,37287.34814,9473.09
Mamonas,3139250,mamonense,IDALINO CELESTINO DE CARVALHO,284.365,6554,21.69,98.5,0.618,21.28,19130.2334,14667.57145,7193.17
Manga,3139300,manguense,JOAQUIM DE OLIVEIRA SA FILHO,1950.184,18226,10.16,96.4,0.642,28.94,43950.03224,40606.33981,9694.54
Manhuaçu,3139409,manhuaçuense,MARIA APARECIDA MAGALHAES BIFANO,628.318,91169,126.65,97.4,0.689,12.84,195699.87439,172033.47875,26924.92
Manhumirim,3139508,manhumiriense,LUCIANO MACHADO DA SILVA,182.9,22802,116.91,96.7,0.697,7.69,49159.72917,41719.2517,19664.28
Mantena,3139607,mantenense,JOÃO RUFINO SOBRINHO,685.208,27647,39.57,96.6,0.675,9.01,70888.15823,65381.0505,13394.93
Maravilhas,3139706,maravilhense,DIOVANE POLICARPO DE CASTRO,261.604,8046,27.38,98.3,0.672,14.93,19690.67137,17991.43372,14628.12
Mar de Espanha,3139805,mar-de-espanhense,WELINGTON MARCOS RODRIGUES,371.6,12901,31.62,98.4,0.684,17.75,25376.83941,22463.94221,13374.73
Maria da Fé,3139904,mariense,PATRICIA SANTOS DE ALMEIDA BERNARDO,202.898,14056,70.06,98.9,0.702,5.26,32877.77215,30667.4118,10881.07
